formula,spacegroup
VAgOF4,13
Nd2InGe2,125
H4Pd(NO4)2,60
HoTmZn2,219
Rb4P3(PdS4)3,217
Lu2MgGe2,125
Rb3SbO3,13
Li3VPCO7,13
Cs7Au5O2,70
Li5V3P8O29,4
Ce3Al11,70
LiVPH4O7,63
KSrPrSbO6,210
ErAu,62
Li2FeO2F,8
Mn6O7F5,0
NaPrS2,139
Nb3In,217
ZrSCl6O,13
Ba2Lu(CuO2)3,121
CaMnF6,146
Li2TiMn2O5,4
La7Sb11Br4,61
Yb2AgRh,219
LiFe3SiPO8,10
MgNbRh2,219
TbOF,164
LiInRh2,219
Li2BiF5,86
K4Ba(GeO3)3,4
Na4(CoO2)7,173
Ba4Lu6O13,0
MnH8(SO6)2,14
Ba3RuN3,173
PRh2,219
KS,186
CsAsH6(CSe)2,14
Tl2Co2(SO4)3,195
KCdF3,61
Mg30ZnCdO32,121
LiPrHg2,219
Li4Cr3FeO8,9
CuTe2Cl,13
RbMnCl3,191
Cr5Te8,11
K2ZrSi3(HO5)2,18
ZrIr3,215
KB5(H2O5)2,13
CsTiCoOF5,73
K4Na4Mo3W5O24,24
FeH12C2(NCl2)2,55
Tm5(Ge5Rh2)2,125
Cs2PrAgI6,219
Li2Fe3NiO8,35
Na4Al3Cr(P2O7)4,0
DyInO3,61
TbSi2RuRh,117
Nb5(NiP)4,86
Na2Zr12B2I5Cl23,6
KY(CuO2)2,121
Ba2Ti4Cr2O13,11
Li10Zn3(GeO4)4,0
Y4Si5Ir9,191
ThB12,219
MgAu5,186
LiMn2O4,221
Na9Mg2Nb4Si6(PO12)3,0
YCu(WO4)2,0
LaCeRu4,210
Ce2Ge5Ir3,71
Na2ScZnP(SO6)2,8
Li4V3P8O29,0
TaOs3,215
UCrB4,54
Sr3SnO,215
La3AgSnSe7,170
Al8P8H34N7O36F5,0
GaSbO4,64
Pr2B2MoO9,1
LiMnBO3,13
CeSb(SBr)2,13
Co2ClO3,164
H9BrO4,0
TiSe2,162
Na3MgP2HO8,1
HoFe3(BO3)4,153
VOF2,8
Ca2Th(Si2O5)4,95
Na2Mg4SiSn4S11O48,0
Mg6VCoO8,121
CaSn2Rh,62
Tl2Cr2O7,1
AgSbPbS3,13
CdTeMoO6,111
K4ZnAs2,164
Sr4Li2Si4N8O,126
Gd2TiO5,61
SmNiO3,61
ZrCo,215
LiLa2Fe2(TeO6)2,141
Nd6S4BrN3,61
BaPr2In2O7,134
Li5CrP2(O4F)2,141
Li4Fe3Cu2Sn3O16,7
FeBr3,146
ScAl2,221
KPdF3,215
SbH12C4NF4,13
LiMg15,184
BiPbF5,0
YTe2,127
V2Zn3O8,63
Cs2CuMoBr6,219
EuZrS3,61
Al3Pb5F19,1
Co3TeO8,0
Cs2Nb4O11,51
Mn3SiNi2,221
Nd2Co17,164
AlCuPd2,121
LuNbO4,11
H4SO5,0
ScZn2Cu,219
AlVMoO7,61
NbCr3(AgS4)2,5
Sr2PdAu,219
ErAsSe,61
PH4NO3,13
Na8Ti3ZnSi4(PO12)2,0
TlCu2H(SeO5)2,11
VCrB4,188
TlPPd5,121
Na2Zn2S3,94
DyLuZn2,219
CuAgS,35
Rb2Be3Zn2F12,195
YU2S3O2,137
Na6Mg4Sc4SiS11O48,0
TmPt3,215
Er6Ta4Al43,190
Cr12Fe3S20,1
Li3Mn4(BO3)4,0
Mn4VSe5,164
SmAsPt,191
Rb3InO3,13
Cr4CdCuO8,210
NaW(ClO)2,37
AlAg3,144
Sr2YCu2BiPbO8,13
LiZrPd2,219
AlCr4CuSe8,210
Ba3Rh(CN)3,173
Rb5Th(PS4)3,13
RbTb2Ag3Te5,62
Sr16La3Co11(Cu4O23)2,97
SrCu2Se2(ClO3)2,3
Tl2SnCl6,219
Li2(FeO2)3,0
LiBiF6,146
Sr2Mg,62
Li3SbS3,158
Sm2ZrSe5,61
TaTiB4,188
Na5Cu2H14S4O19,13
CdHgTe2,158
Ca3(SiAs2)2,13
Sm5Mg,37
Cs4Sb2O5,7
Li5Co3O8,164
Lu3In,191
Nd(SiOs)2,137
Sr(AuO2)2,87
Cu2SiSe3,8
La(GaPd)2,127
Tl2CdTe4,81
Li2Ti(FeO3)2,11
V6SiOs,197
Ho2Fe17N3,191
BH10C2N5O3,18
EuSb2,62
LiGePt2,219
Cs2YHgI6,219
HoAlRh,61
NdSi2Rh,62
Na10Sc4Ti4Si7S5O48,0
CoO,210
Mg2TiBO5,54
Sc3(Ga4Fe5)4,7
LaPd3S4,217
Li2VFeP2(O4F)2,1
IN2,138
Ta4NiTe4,54
V3P3O13,10
KBaNdWO6,47
CsInSe2,14
ErBi2ClO4,121
ZrVGe,137
Li2MnP2O7,1
Sm3Ge13Os4,217
Li2Mn3FeO8,8
Ce3(Ge3Pd10)2,219
CeThB8,64
CeSn2Rh,62
Ca2MnWO6,144
